Change Physical Footprint: Designator=C1 Old Footprint=10x20_radial New Footprint=10x20_radial
Change Physical Footprint: Designator=C2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C3 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C4 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C5 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C6 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C7 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C8 Old Footprint=SMD_cap_12,5x13,5 New Footprint=SMD_cap_12,5x13,5
Change Physical Footprint: Designator=C9 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C10 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C11 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C12 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C13 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C14 Old Footprint=1206C New Footprint=1206C
Change Physical Footprint: Designator=C15 Old Footprint=1206C New Footprint=1206C
Change Physical Footprint: Designator=C16 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C17 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C18 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C19_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C19_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C19_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C20_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C20_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C20_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C21_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C21_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C21_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C22_1 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C22_2 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C22_3 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C23_1 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C23_2 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C23_3 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C24_1 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C24_2 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C24_3 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C25_1 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C25_2 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C25_3 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=C26_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C26_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C26_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C27_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C27_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C27_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C28_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C28_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C28_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C29_1 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C29_2 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C29_3 Old Footprint=1210C New Footprint=1210C
Change Physical Footprint: Designator=C30 Old Footprint=1206C New Footprint=1206C
